url,name,role,image,ind,true_count,almost_true_count,misleading_count,no_data_count,false_count,outrageous_count
/profiles/sartipi.html,علی سرتیپی,تهیه‌کننده و مدیرعامل موسسه «فیلمیران»,https://factnameh.com/wp-content/uploads/2018/09/Factnameh-ali-sartipi-225x225.png?t=1537802009,101,0,0,0,0,1,0
/profiles/rabiei.html,علی ربیعی,سخنگوی دولت,https://factnameh.com/wp-content/uploads/2020/05/Factnameh-ali-rabiei-225x225.jpg?t=1589041047,102,0,0,0,1,0,0
/profiles/khamenei.html,علی خامنه‌ای, رهبر جمهوری اسلامی ایران,https://factnameh.com/wp-content/uploads/2018/03/ali-khamenei-225x225.jpg?t=1537801801,103,2,1,5,0,12,2
/profiles/javanmardi.html,علی جوانمردی,روزنامه‌نگار,https://factnameh.com/wp-content/uploads/2021/02/Factnameh-Ali-javanmardi-225x225.jpg?t=1613012856,104,0,0,0,0,1,0
/profiles/a-akbarzadeh-khiavi.html,عظیم اکبرزاده خیاوی,عضو بازنشسته هیات علمی انستیتو پاستور,https://factnameh.com/wp-content/uploads/2020/08/Factnameh-azim-akbarzadeh-khiavi-225x225.jpg?t=1596649900,105,0,0,0,0,1,0
/profiles/abdolnaser-hemmati.html,عبدالناصر همتی,رئیس کل پیشین بانک مرکزی ایران ,https://factnameh.com/wp-content/uploads/2019/08/Factnameh-abdolnaser-hemmati-225x225.jpg?t=1566568529,106,4,1,1,2,4,1
/profiles/abdollah-ganji.html,عبدالله گنجی,مدیرمسئول روزنامه جوان,https://factnameh.com/wp-content/uploads/2021/02/Factnameh-Abdollah-Ganji-225x225.jpg?t=1614096547,107,0,0,1,0,0,0
/profiles/khoramabadi.html,عبدالصمد خرم‌آبادی,معاون دادستان کل کشور,https://factnameh.com/wp-content/uploads/2018/05/Factnameh-abdolsamad-khoramabadi-225x225.png?t=1537801874,108,0,0,1,0,0,0
/profiles/rahmani-fazli.html,عبدالرضا رحمانی‌فضلی,وزیر کشور,https://factnameh.com/wp-content/uploads/2019/09/Factnameh-abdolreza-rahmanifazli-225x225.png?t=1568666798,109,0,0,0,0,1,1
/profiles/abdolrahim-mousavi.html,عبدالرحیم موسوی,فرمانده کل ارتش جمهوری اسلامی ایران,https://factnameh.com/wp-content/uploads/2020/10/Factnameh-abdolrahim-mousavi-225x225.jpg?t=1602609851,110,0,0,0,0,1,0
/profiles/kadkhodaie.html,عباسعلی کدخدایی,سخنگوی شورای نگهبان,https://factnameh.com/wp-content/uploads/2018/10/Factnameh-abbasali-kadkhodaei-225x225.png?t=1540834182,111,0,0,1,0,2,0
/profiles/aliabadi.html,عباس علی‌آبادی,مدیرعامل شرکت مپنا,https://factnameh.com/wp-content/uploads/2020/06/Factnameh-abbas-aliabadi-225x225.jpg?t=1593459252,112,0,0,0,0,1,0
/profiles/araghchi.html,عباس عراقچی,معاون وزیر امور خارجه,https://factnameh.com/wp-content/uploads/2019/05/Factnameh-abbas-cheraghchi-225x225.png?t=1557586617,113,0,1,0,0,3,0
/profiles/akhoundi.html,عباس آخوندی,وزیر سابق راه و شهرسازی,https://factnameh.com/wp-content/uploads/2018/10/Akhoundi-2-225x255.png?t=1538847107,114,0,1,0,0,0,0
